Numéro (Code);Ancien numéro;Nom;Description;Détails;Actif;Prix unitaire;Prix d'achat;Unité de mesure;Classe de produit (Code);Groupe de produit (Code);Pas de taxe;Date de fin de vente;Activer l'alerte;Nombre de jours pour l'alerte;Quantité critique;Quantité en stock;Quantité initiale;ISBN;EAN;UPC;Gérer l'inventaire;Entrepôt ;Emplacement boutique;Emplacement entrepôt 
P10042;;DIGITAL EARTH;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10043;;TESTER;734563;DUOYI;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10044;;CMBOUT;23564;BOURIX;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10045;;COLIERS(100 coliers);1618/05;INEGELEC;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10046;;REPERE CABLE;L0345;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10047;;INTERUPTEURS;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10048;;DETECTEUR DE COURANT - 3UF7100-1AA00.0;3UF7100-1AA00.0;SIEMENS;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10049;;FIN DE COURSE;3SE5110.0CT11;SIEMENS;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10050;;INDUCTEUR PERCEUSE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10051;;ADAPTEURS - 10083901222;10083901222;LEXMAN;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10052;;VINYL ELECTRICAL TAPE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10053;;VINYL PLASTIC ELECTRICAL TAPE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10054;;CONTACTEURS - A600Q300 - ABB;A600Q300;ABB;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10055;;CONTACT -ZBE-102 ;ZBE-102;TELETECNIQUE;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10056;;CONTACT -ZBE-101;ZBE-101;SCHNEIDER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10057;;CONTACT - ZBV-B3;ZBV-B3;SCHNEIDER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10058;;INTERRUPTEUR - L0036 L0001;L0036 L0001;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10059;;INTERRUPTEUR;;SCHNEIDER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10060;;DISTRIBUTEUR;4M210L-02;VALVE;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10061;;BLOI AUXILIAIRE;;SCHNEIDER;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10062;;BESSE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10063;;TELEMECANIQUE;S630B1PAM;SENSORS;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10064;;RELAY GEN PURPOSE 4POT 6A14V;29036;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10065;;MULTI-METRE ;2100;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10066;;SMORT OUTDOOR SPOTLIGHTS;54250004-00-IP44;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10067;;TOURNEFIX STANLEY;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10068;;3- EN -4N TECHNIQUE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10069;;WD -40;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10070;;DECALAMINAGE MOTEUR INTEGRAL;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10071;;BATTERY CHARGER;4*AA/HR6-2500M/AH;LEXMAN;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10072;;TOUT COLLER;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10073;;SIEMENS (PC ADAPTER USB A2);;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10074;;TORCHE;;lexman;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10075;;NIVEAU D'EAU ;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10076;;RALONGE ELECTRIQUE;;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10077;;RELAY - 2903660;2903660;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10078;;RELAY - 2903687;2903687;;1;0;0;;;ACESSOIRES ;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10079;;3 KW - 3000trs - B3;"AAP100L2A ; IP55; IE3; cosphi= 0.75";;1;316134;108680;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;10;100;0;;;;;1;;;
P10080;;11 KW - 3000trs - B3;AAP160M2A - IP55 - IE3 ;;1;1009008;273130;;EN ALUMINIUM;MOTEURS;0;;1;1;100;0;;;;;1;;;
P10081;;11 KW - 1500trs - B35;AAP160M4A  - IP55 - IE3 ;;1;1122702;376805;;EN FONTE;MOTEURS;0;31/12/2099 00:00:00;1;1;100;0;;;;;1;;;
P10082;;1.1 KW - 3000trs - B35;AAP80M2b - IP55 - IE3 ;;1;160524;43615;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10083;;1.5 KW - 3000trs- B35;AAP90S2A  - IP55 - IE3;;1;208026;56485;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10084;;3 KW - 3000trs - B35; AAP100L2A - IP55 - IE3;;1;320619;111540;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10086;;3 KW - 1500trs - B3;AAP100L4B - IP55 - IE3;;1;388210;127270;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10090;;Boitier de filtre a carburant VOLVO ;;;1;479436;335605;;;MAINTENANCE ;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10092;;Pompe manuel VOLVO ;;;1;63939;44758;;;MAINTENANCE ;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
